Nr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Kod stacji,DsJelGorOgin,DsLegAlRzecz,DsWalbrzWyso,DsWrocWybCon,DsZgorBohGet,KpBydPlPozna,KpNaklWawrzy,KpSwiecJPawlMOB,KpToruKaszow,KpWloclOkrze,LbBiaPodOrze,LbLubObywate,LbZamoHrubie,LdLodzGdansk,LdLodzJanPaw,LdRadomsRoln,LuGorzKosGdy,LuMiedzyrMOB,LuWsKaziWiel,LuZarySzyman,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpNoSaczNadb,MpOswiecBema,MpSkawOsOgro,MpTarRoSitko,MzBialaKmiciMOB,MzOtwoBrzozo,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzWarAlNiepo,OpKKozBSmial,OpKrap3Maja,OpOpoleOsAKr,OpZdziePiast,PdBialAlPils,PkMielBierna,PkPrzemGrunw,PkRzeszRejta,PmGdaLeczkow,PmKosTargowa,PmSlupKniazi,SkKielTargow,SkKielWarsz1,SkStaraZlota,SlBielKossak,SlCzerKopaln,SlCzestoBacz,SlDabroTysia,SlGliwicMewy,SlGoczaUzdroMOB,SlLublSzymal,SlRybniBorki,SlZlotPotLes,SlZywieKoper,WmElbBazynsk,WmElkStadion,WmOlsPuszkin,WpKaliSawick,WpKoniWyszyn,WpKozieosLes,ZpSzczecPrze,ZpSzczPilsud
Wskaźnik,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6,C6H6
Czas uśredniania,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g,1g
Jednostka,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3,ug/m3
Kod stanowiska,DsJelGorOgin-C6H6-1g,DsLegAlRzecz-C6H6-1g,DsWalbrzWyso-C6H6-1g,DsWrocWybCon-C6H6-1g,DsZgorBohGet-C6H6-1g,KpBydPlPozna-C6H6-1g,KpNaklWawrzy-C6H6-1g,KpSwiecJPawlMOB-C6H6-1g,KpToruKaszow-C6H6-1g,KpWloclOkrze-C6H6-1g,LbBiaPodOrze-C6H6-1g,LbLubObywate-C6H6-1g,LbZamoHrubie-C6H6-1g,LdLodzGdansk-C6H6-1g,LdLodzJanPaw-C6H6-1g,LdRadomsRoln-C6H6-1g,LuGorzKosGdy-C6H6-1g,LuMiedzyrMOB-C6H6-1g,LuWsKaziWiel-C6H6-1g,LuZarySzyman-C6H6-1g,LuZielKrotka-C6H6-1g,MpKrakAlKras-C6H6-1g,MpKrakBujaka-C6H6-1g,MpKrakBulwar-C6H6-1g,MpNoSaczNadb-C6H6-1g,MpOswiecBema-C6H6-1g,MpSkawOsOgro-C6H6-1g,MpTarRoSitko-C6H6-1g,MzBialaKmiciMOB-C6H6-1g,MzOtwoBrzozo-C6H6-1g,MzPlocKroJad-C6H6-1g,MzPlocMiReja-C6H6-1g,MzRadTochter-C6H6-1g,MzWarAlNiepo-C6H6-1g,OpKKozBSmial-C6H6-1g,OpKrap3MajaMOB-C6H6-1g,OpOpoleOsAKr-C6H6-1g,OpZdziePiast-C6H6-1g,PdBialAlPils-C6H6-1g,PkMielBierna-C6H6-1g,PkPrzemGrunw-C6H6-1g,PkRzeszRejta-C6H6-1g,PmGdaLeczkow-C6H6-1g,PmKosTargowa-C6H6-1g,PmSlupKniazi-C6H6-1g,SkKielTargow-C6H6-1g,SkKielWarsz1-C6H6-1g,SkStaraZlota-C6H6-1g,SlBielKossak-C6H6-1g,SlCzerKopaln-C6H6-1g,SlCzestoBacz-C6H6-1g,SlDabroTysia-C6H6-1g,SlGliwicMewy-C6H6-1g,SlGoczaUzdroMOB-C6H6-1g,SlLublSzymal-C6H6-1g,SlRybniBorki-C6H6-1g,SlZlotPotLes-C6H6-1g,SlZywieKoper-C6H6-1g,WmElbBazynsk-C6H6-1g,WmElkStadion-C6H6-1g,WmOlsPuszkin-C6H6-1g,WpKaliSawick-C6H6-1g,WpKoniWyszyn-C6H6-1g,WpKozieosLes-C6H6-1g,ZpSzczecPrze-C6H6-1g,ZpSzczPilsud-C6H6-1g
01/01/23 01:00,0.14732000000000001,1.2504999999999999,0.17393,0.33434999999999998,,0.6,0.3,0.7,2.1,1.1000000000000001,0.86,1.2649999999999999,1.02,0.67,0.56000000000000005,0.79,0.14849999999999999,,,0.124,0.20821000000000001,1.7175199999999999,0.20787,1.724,5.4825699999999999,2.93011,0.54498999999999997,1.10049,0.1,0.8,,0.6,0.8,0.5,0.85177999999999998,0.18998999999999999,1.2914699999999999,0.86609000000000003,0.4,,1.1898500000000001,1.6218300000000001,0.71702999999999995,0.22359999999999999,0.64505999999999997,,0.3,1.2,0.40661999999999998,1.6956,0.71675999999999995,0.97423999999999999,2.0539800000000001,2.9351099999999999,0.78803999999999996,1.1573199999999999,0.84465999999999997,0.69308999999999998,0.94957999999999998,1.7158500000000001,2.93343,0.1,,0.21687999999999999,0.58218999999999999,0.48303000000000001
01/01/23 02:00,0.12078,0.62424000000000002,0.15919,0.29169,,0.7,0.3,0.4,2.5,1,0.81,1.1499999999999999,0.92,1.41,0.54,0.67,0.20250000000000001,,,0.12,0.16688,1.7287399999999999,0.17662,2.4180000000000001,4.7965499999999999,3.70852,0.42992999999999998,1.1224400000000001,0,0.7,,0.5,0.6,0.6,0.83833999999999997,0.21078,1.1209199999999999,0.72031000000000001,0.33,,1.10669,1.40374,0.63917999999999997,0.18629000000000001,0.57347999999999999,,0.6,0.9,0.29970000000000002,1.82453,0.69443999999999995,0.88483999999999996,1.7319599999999999,1.96092,0.78102000000000005,1.03772,0.68118999999999996,0.61209000000000002,1.0309299999999999,1.39422,0.80464000000000002,0.14058000000000001,,0.25552999999999998,0.50241000000000002,0.51615
01/01/23 03:00,0.11809,0.51920999999999995,0.52612000000000003,0.21753,,0.6,0.2,0.5,5.0999999999999996,1,0.71,1.1499999999999999,0.96,0.75,0.56000000000000005,1.1000000000000001,0.216,,,0.12,0.13070999999999999,1.8325800000000001,0.17504,1.8680000000000001,3.65001,3.1332399999999998,0.37576999999999999,1.2004300000000001,0,0.6,,0.5,0.6,0.5,0.81688000000000005,0.15390000000000001,1.0190399999999999,0.73438000000000003,0.28000000000000003,,1.00976,1.22201,0.51380999999999999,0.13181999999999999,0.48060000000000003,,0.1,0.6,0.34560000000000002,1.4046700000000001,0.62370000000000003,0.85550000000000004,1.71702,1.23854,0.73943999999999999,1.0189900000000001,0.63599000000000006,0.55430999999999997,0.57889000000000002,1.3193600000000001,0.60580999999999996,0.11,,0.21296999999999999,0.43019000000000002,0.47502
01/01/23 04:00,0.12125,0.44429000000000002,0.23164999999999999,0.21293999999999999,,0.6,0.2,0.4,9.6999999999999993,0.8,0.73,1.0349999999999999,0.9,0.72,0.56999999999999995,1.03,0.20250000000000001,,,0.11600000000000001,0.10475,2.1310799999999999,0.18296000000000001,1.873,2.4565800000000002,2.16214,0.32619999999999999,1.21282,0.8,0.6,,0.4,0.4,0.4,0.71001999999999998,0.16200000000000001,1.0185900000000001,0.73933000000000004,0.25,,1.0863499999999999,1.0875600000000001,0.42930000000000001,0.11787,0.41849999999999998,,0,0.4,0.24543000000000001,1.4761899999999999,0.55871999999999999,0.97050000000000003,0.84167999999999998,1.2685999999999999,0.68957999999999997,1.0631699999999999,0.68337999999999999,0.56808000000000003,0.38608999999999999,1.2481899999999999,0.63376999999999994,0.18,,0.15404999999999999,0.39239000000000002,0.41678999999999999
01/01/23 05:00,0.12439,0.35072999999999999,8.7770000000000001E-2,0.14580000000000001,,0.5,0.2,0.4,3.2,0.7,0.76,1.0349999999999999,0.86,0.61,0.57999999999999996,0.56000000000000005,0.189,,,0.115,9.7430000000000003E-2,2.1887300000000001,0.17044999999999999,1.7430000000000001,1.8086800000000001,2.49892,0.28977999999999998,1.13266,1.9,0.7,,0.4,0.4,0.4,0.68815999999999999,0.16200000000000001,0.98960999999999999,0.64871999999999996,0.23,,1.00715,1.00525,0.41697000000000001,0.11698,0.39419999999999999,,0,0.3,0.20250000000000001,1.61731,0.60792000000000002,0.94699999999999995,0.86058000000000001,0.77344999999999997,,1.3540000000000001,0.63673000000000002,0.48492000000000002,0.39262000000000002,1.1241399999999999,0.58645000000000003,0.10192,,0.13167999999999999,0.41876999999999998,0.37629000000000001
01/01/23 06:00,0.17069999999999999,0.37664999999999998,0.57291999999999998,0.15390000000000001,,0.4,0.2,0.3,1.2,0.6,0.67,0.92,0.82,0.61,0.56000000000000005,0.54,0.24299999999999999,,,0.112,9.5140000000000002E-2,2.1965400000000002,0.33528999999999998,1.679,1.5461400000000001,2.5959400000000001,0.32374999999999998,1.2097899999999999,3.5,0.5,,0.4,0.4,0.4,0.62419999999999998,0.16200000000000001,0.95721000000000001,0.57977999999999996,0.22,,0.81301999999999996,0.99100999999999995,0.56159999999999999,0.10784000000000001,0.37259999999999999,,0,0.3,0.18629999999999999,2.3427699999999998,0.65591999999999995,0.95789000000000002,1.2711600000000001,1.1708499999999999,0.63990000000000002,1.5436099999999999,0.66490000000000005,0.59130000000000005,0.39848,1.0300800000000001,0.55793999999999999,9.9419999999999994E-2,,0.1203,0.39854000000000001,0.35639999999999999
01/01/23 07:00,0.11871,0.39555000000000001,0.66402000000000005,0.15390000000000001,,0.4,0.2,0.3,0.7,0.5,0.52,0.92,0.8,0.53,0.52,0.48,0.29699999999999999,,,0.11600000000000001,9.0509999999999993E-2,2.19252,0.57099,,1.3040700000000001,2.2303600000000001,0.35802,1.1020799999999999,3.8,0.4,,0.4,0.4,0.4,0.61546999999999996,0.15776999999999999,0.94101000000000001,0.57589000000000001,0.18,,0.93740000000000001,0.85009000000000001,0.40887000000000001,0.13239000000000001,0.35370000000000001,,0.2,0.3,0.29726999999999998,2.2465199999999999,0.59940000000000004,0.98711000000000004,0.68274000000000001,1.5362199999999999,0.67013999999999996,0.67988999999999999,0.68152999999999997,0.62963999999999998,0.37154999999999999,0.93201000000000001,0.52154999999999996,0.09,,0.10648000000000001,0.37003000000000003,0.3483
01/01/23 08:00,0.12836,0.45806000000000002,0.23291999999999999,0.13886999999999999,,0.4,0.2,0.3,0.5,0.6,0.5,0.92,0.78,0.52,0.49,0.45,0.35099999999999998,,,0.11,8.8289999999999993E-2,2.1446399999999999,0.63210999999999995,1.865,1.29958,1.89124,0.40178000000000003,1.2281200000000001,1.9,0.4,,0.3,0.4,0.3,0.64007000000000003,0.19863,0.94569000000000003,1.6789000000000001,0.18,,0.94496000000000002,0.87961999999999996,0.41732999999999998,0.11383,0.3483,,0.8,0.4,0.31590000000000001,1.4667300000000001,0.59940000000000004,1.0323599999999999,0.63251999999999997,1.31165,0.77058000000000004,0.55310999999999999,0.59604999999999997,0.48537000000000002,0.34837000000000001,0.88924000000000003,0.48848000000000003,0.17025000000000001,,,0.36665999999999999,0.37259999999999999
01/01/23 09:00,0.12995999999999999,0.65974999999999995,0.10362,0.14696999999999999,,0.3,0.2,0.3,0.4,0.6,0.52,0.92,0.77,0.55000000000000004,0.47,,0.45900000000000002,,,0.11700000000000001,0.11243,2.01437,0.38066,1.42,1.3064499999999999,1.2539499999999999,0.4844,1.11121,2.7,0.4,,0.2,0.3,0.3,0.67186999999999997,0.17046,,0.72441999999999995,0.16,,0.79186999999999996,0.85248000000000002,0.43353000000000003,0.10899,0.40679999999999999,,0.6,0.4,0.73304999999999998,1.2386999999999999,0.67032000000000003,0.77390000000000003,0.65825999999999996,1.1982200000000001,0.68381999999999998,0.53078999999999998,0.54064000000000001,0.40850999999999998,0.31968999999999997,0.87265000000000004,0.48402000000000001,0.10725,,,0.37586999999999998,0.40644000000000002
01/01/23 10:00,0.20935000000000001,0.67149000000000003,0.1137,0.13536000000000001,,0.4,0.2,0.6,0.4,0.6,0.56000000000000005,0.92,0.83,0.53,0.46,,0.378,,,0.11700000000000001,0.13336999999999999,1.82612,0.50773000000000001,1.0429999999999999,1.2601,1.23037,0.60343000000000002,1.1596,0.5,0.3,,0.4,0.4,0.3,0.75539999999999996,0.19403999999999999,0.89880000000000004,0.87812000000000001,0.15,,0.75892999999999999,0.85274000000000005,0.47403000000000001,0.19414999999999999,0.38879999999999998,,0.5,0.9,0.83511000000000002,1.5387200000000001,0.88541999999999998,0.68037999999999998,0.77688000000000001,1.3875500000000001,0.72216000000000002,0.48721999999999999,0.68576000000000004,0.53774999999999995,0.30715999999999999,0.89195000000000002,0.43292999999999998,0.13467000000000001,,,0.37952999999999998,0.46539000000000003
